Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.64E+12,12/12/2021 04:00,BTCUSD,49333.66,50808.48,48490.81,48899.75,779.5458793
1.64E+12,12/11/2021 04:00,BTCUSD,48331.11,49699.99,47819.28,49333.66,623.8648248
1.64E+12,12/10/2021 04:00,BTCUSD,48405.03,49243,46759.2,48331.11,766.723395
1.64E+12,12/9/2021 04:00,BTCUSD,49567.4,50362.35,47335.2,48405.03,1686.802676
1.64E+12,12/8/2021 04:00,BTCUSD,50162.48,51269.82,48669.68,49567.4,1215.602999
1.64E+12,12/7/2021 04:00,BTCUSD,51012.43,51982.66,50086,50162.48,1220.785991
1.64E+12,12/6/2021 04:00,BTCUSD,49103.01,51481.04,47165.65,51012.43,2139.332817
1.64E+12,12/5/2021 04:00,BTCUSD,49249.56,49786.95,47844.03,49103.01,3697.032547
1.64E+12,12/4/2021 04:00,BTCUSD,52055.9,52644.42,42074.62,49249.56,5486.886278
1.64E+12,12/3/2021 04:00,BTCUSD,56380.25,57673.58,51619.3,52055.9,1784.772369
1.64E+12,12/2/2021 04:00,BTCUSD,56362.19,57277.92,56000,56380.25,1140.494616
1.64E+12,12/1/2021 04:00,BTCUSD,57404.47,59105.91,55860.02,56362.19,1420.426738
1.64E+12,11/30/2021 04:00,BTCUSD,57163.87,59226.98,55930.25,57404.47,1487.282388
1.64E+12,11/29/2021 04:00,BTCUSD,57400.61,58903.31,56734.49,57163.87,1057.040264
1.64E+12,11/28/2021 04:00,BTCUSD,54161.85,58265.2,53333.33,57400.61,790.7465465
1.64E+12,11/27/2021 04:00,BTCUSD,54409.03,55320.8,53739.8,54161.85,556.5086102
1.64E+12,11/26/2021 04:00,BTCUSD,57952.35,58043.76,53529,54409.03,2804.098114
1.64E+12,11/25/2021 04:00,BTCUSD,57756.25,59476.65,57051.76,57952.35,628.9894648
1.64E+12,11/24/2021 04:00,BTCUSD,56423.5,58276.58,55899,57756.25,1105.159139
1.64E+12,11/23/2021 04:00,BTCUSD,56975.38,57882.26,55384,56423.5,1584.777182
1.64E+12,11/22/2021 04:00,BTCUSD,57440.38,59581.52,55648.53,56975.38,1430.308036
1.64E+12,11/21/2021 04:00,BTCUSD,58741.06,60061.89,57049.07,57440.38,649.5856736
1.64E+12,11/20/2021 04:00,BTCUSD,58596.83,59886.11,57442,58741.06,777.7949993
1.64E+12,11/19/2021 04:00,BTCUSD,55911.16,59042,55856.95,58596.83,1483.11626
1.64E+12,11/18/2021 04:00,BTCUSD,59885.21,60106.3,53760,55911.16,3999.420932
1.64E+12,11/17/2021 04:00,BTCUSD,59050.45,60976.25,58434.8,59885.21,1794.835456
1.64E+12,11/16/2021 04:00,BTCUSD,60944.13,61558.53,58573,59050.45,2725.200365
1.64E+12,11/15/2021 04:00,BTCUSD,65744.18,66340.74,60503,60944.13,1790.800894
1.64E+12,11/14/2021 04:00,BTCUSD,64673.28,66200,63602.2,65744.18,528.4997249
1.64E+12,11/13/2021 04:00,BTCUSD,63805.12,65338.87,63409.49,64673.28,310.0065388
1.64E+12,11/12/2021 04:00,BTCUSD,64857.63,65071.49,62875,63805.12,1466.288269
1.64E+12,11/11/2021 04:00,BTCUSD,64785.34,65587,64121,64857.63,1050.512138
1.64E+12,11/10/2021 04:00,BTCUSD,66491.25,69000,62927.97,64785.34,2966.578623
1.64E+12,11/9/2021 04:00,BTCUSD,68525.75,68529.52,66262.48,66491.25,1229.455106
1.64E+12,11/8/2021 04:00,BTCUSD,65235.2,68534.11,65138,68525.75,1421.07585
1.64E+12,11/7/2021 04:00,BTCUSD,62199.69,65680,61537.32,65235.2,892.8235258
1.64E+12,11/6/2021 04:00,BTCUSD,61172.03,62338.16,60120,62199.69,758.383379
1.64E+12,11/5/2021 04:00,BTCUSD,62249.6,64000,60777.3,61172.03,1043.914728
1.64E+12,11/4/2021 04:00,BTCUSD,62469.83,62858.83,60724.16,62249.6,1036.528464
1.64E+12,11/3/2021 04:00,BTCUSD,63257.57,63547.54,60110,62469.83,1448.486915
1.64E+12,11/2/2021 04:00,BTCUSD,61133.24,64319,61124.5,63257.57,1791.903727
1.64E+12,11/1/2021 04:00,BTCUSD,59947.01,62490,59490.18,61133.24,1488.557124
