date,polarity,subjectivity
2021-11-01,0.023711250435388367,0.16799024730059212
2021-11-02,0.06475714285714286,0.20214365079365082
2021-11-03,0.09496941464332768,0.19095896856766426
2021-11-04,0.08615409474784474,0.2696264094701594
2021-11-05,0.1702705627705628,0.25666245791245795
2021-11-06,0.0752455808080808,0.2238232323232323
2021-11-07,0.03583333333333334,0.22138888888888889
2021-11-08,0.014130366161616163,0.2419507575757576
2021-11-09,0.06915948634698635,0.20644355644355647
2021-11-10,0.05246065375302664,0.2158975652407856
2021-11-11,0.1232309267793139,0.19721454173067074
2021-11-12,0.008288203463203457,0.2527363275613276
2021-11-13,0.28172438672438666,0.35000060125060123
2021-11-14,0.06863548375743497,0.24304952838489421
2021-11-15,0.046321839080459774,0.12546934865900383
2021-11-16,0.03557915057915058,0.2598809523809524
2021-11-17,0.04773815342363727,0.1959154525283557
2021-11-18,0.030252627077223846,0.24093200146627564
2021-11-19,0.06510204081632653,0.20812925170068025
2021-11-20,0.06713770356627499,0.12298546691403833
2021-11-21,0.08999519586104952,0.18761566888396156
2021-11-22,0.08225468975468976,0.34566378066378073
2021-11-23,0.04286264000549715,0.2616012162440734
2021-11-24,0.09089679260133804,0.2693673750491932
2021-11-25,0.09416666666666666,0.26168803418803416
2021-11-26,0.06998211279461279,0.1506734006734007
2021-11-27,0.05956856910584669,0.19850910944597205
2021-11-28,0.06473367487058375,0.19697142067963247
2021-11-29,0.06266083692666387,0.20964868711048842
2021-11-30,0.06830516967717999,0.20298755276995098
2021-12-01,0.03640841916703986,0.2237560332387919
2021-12-02,0.07291961826052736,0.2460146923783288
2021-12-03,0.10013828763828762,0.15361351611351612
2021-12-04,0.07227249238834853,0.22543788492359806
2021-12-05,0.06927517750486689,0.2154239796635462
2021-12-06,0.0700833266131113,0.20634889206029924
2021-12-07,0.07784359562638493,0.2684707590854108
2021-12-08,0.07019389827149224,0.23395837102896228
2021-12-09,0.04208333753240692,0.19792493203847197
2021-12-10,0.05330193035689996,0.20118732879060647
2021-12-11,0.04278004261363635,0.16350084316724947
