Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.64E+12,12/12/2021 04:00,ETHUSD,4044.98,4177.99,3952.59,3997.89,7244.408474
1.64E+12,12/11/2021 04:00,ETHUSD,4013.01,4100,3935.19,4044.98,8434.023506
1.64E+12,12/10/2021 04:00,ETHUSD,4142.53,4199.47,3834.59,4013.01,21071.52944
1.64E+12,12/9/2021 04:00,ETHUSD,4362.77,4362.77,4077.15,4142.53,4979.315234
1.64E+12,12/8/2021 04:00,ETHUSD,4299.35,4490.84,4229.99,4362.77,11082.62828
1.64E+12,12/7/2021 04:00,ETHUSD,4345.53,4429.8,4260,4299.35,16009.61212
1.64E+12,12/6/2021 04:00,ETHUSD,4173.56,4392.08,3919.36,4345.53,25285.08879
1.64E+12,12/5/2021 04:00,ETHUSD,4170.69,4256.38,4037.03,4173.56,32077.94274
1.64E+12,12/4/2021 04:00,ETHUSD,4060.15,4186.92,3500,4170.69,56282.16526
1.64E+12,12/3/2021 04:00,ETHUSD,4498.17,4659.4,4038.35,4060.15,36007.58548
1.64E+12,12/2/2021 04:00,ETHUSD,4495.57,4572.09,4436.79,4498.17,8651.568601
1.64E+12,12/1/2021 04:00,ETHUSD,4764,4783.96,4455.1,4495.57,13931.58933
1.64E+12,11/30/2021 04:00,ETHUSD,4439.72,4770,4348.25,4764,32006.01845
1.64E+12,11/29/2021 04:00,ETHUSD,4309.05,4506.49,4282.97,4439.72,15790.1282
1.64E+12,11/28/2021 04:00,ETHUSD,4026.45,4376.45,3967.69,4309.05,10451.75446
1.64E+12,11/27/2021 04:00,ETHUSD,4118.85,4186.25,3983.47,4026.45,7318.288688
1.64E+12,11/26/2021 04:00,ETHUSD,4431.5,4449.82,3917.85,4118.85,24526.69823
1.64E+12,11/25/2021 04:00,ETHUSD,4318.79,4556,4267.62,4431.5,11814.69202
1.64E+12,11/24/2021 04:00,ETHUSD,4248.78,4341.63,4165,4318.79,13251.2407
1.64E+12,11/23/2021 04:00,ETHUSD,4179.91,4390.01,4063.07,4248.78,19152.83899
1.64E+12,11/22/2021 04:00,ETHUSD,4168.73,4319.66,4025.11,4179.91,13214.33181
1.64E+12,11/21/2021 04:00,ETHUSD,4342.02,4426.53,4146.74,4168.73,7037.286868
1.64E+12,11/20/2021 04:00,ETHUSD,4286.86,4438.41,4206.79,4342.02,7996.813915
1.64E+12,11/19/2021 04:00,ETHUSD,4011.46,4338.2,4007.9,4286.86,13307.54611
1.64E+12,11/18/2021 04:00,ETHUSD,4284.96,4284.96,3960.04,4011.46,24687.52908
1.64E+12,11/17/2021 04:00,ETHUSD,4123.92,4348.15,4081.97,4284.96,13014.52383
1.64E+12,11/16/2021 04:00,ETHUSD,4313.51,4367.65,4068.01,4123.92,19232.04815
1.64E+12,11/15/2021 04:00,ETHUSD,4705.77,4770,4237.77,4313.51,24972.33926
1.64E+12,11/14/2021 04:00,ETHUSD,4628.61,4724.96,4516.77,4705.77,6642.759462
1.64E+12,11/13/2021 04:00,ETHUSD,4643.05,4700.64,4586.64,4628.61,3310.371477
1.64E+12,11/12/2021 04:00,ETHUSD,4774.3,4774.3,4617.96,4643.05,3730.531972
1.64E+12,11/11/2021 04:00,ETHUSD,4636.05,4810.01,4623.92,4774.3,15930.56088
1.64E+12,11/10/2021 04:00,ETHUSD,4692.89,4870.51,4470,4636.05,21539.53957
1.64E+12,11/9/2021 04:00,ETHUSD,4816,4841.78,4679.49,4692.89,12240.81827
1.64E+12,11/8/2021 04:00,ETHUSD,4724.67,4826,4706.05,4816,15375.43645
1.64E+12,11/7/2021 04:00,ETHUSD,4554.24,4739.76,4523.66,4724.67,10429.26033
1.64E+12,11/6/2021 04:00,ETHUSD,4496.29,4575.9,4330,4554.24,14125.61144
1.64E+12,11/5/2021 04:00,ETHUSD,4547.08,4573.23,4445.99,4496.29,13151.56916
1.64E+12,11/4/2021 04:00,ETHUSD,4561.04,4561.04,4421.4,4547.08,14110.61024
1.64E+12,11/3/2021 04:00,ETHUSD,4592.82,4670.49,4456.27,4561.04,20886.65084
1.64E+12,11/2/2021 04:00,ETHUSD,4323.29,4643.44,4319.61,4592.82,23535.33317
1.64E+12,11/1/2021 04:00,ETHUSD,4192.86,4383.1,4150.63,4323.29,18064.59457
