"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"7/30/2015","1438214400","72049306.59375","0","0.00"
"7/31/2015","1438300800","72085498.31250","0","0.00"
"8/1/2015","1438387200","72113204.25000","0","0.00"
"8/2/2015","1438473600","72141427.68750","0","0.00"
"8/3/2015","1438560000","72169404.40625","0","0.00"
"8/4/2015","1438646400","72197882.84375","0","0.00"
"8/5/2015","1438732800","72225411.43750","0","0.00"
"8/6/2015","1438819200","72252486.90625","0","0.00"
"8/7/2015","1438905600","72279924.56250","200.215391038125","2.77"
"8/8/2015","1438992000","72307868.00000","58.56937308","0.81"
"8/9/2015","1439078400","72335046.28125","53.527934248125","0.74"
"8/10/2015","1439164800","72362863.62500","49.206747265","0.68"
"8/11/2015","1439251200","72390891.43750","76.73434492375","1.06"
"8/12/2015","1439337600","72418262.37500","90.52282796875","1.25"
"8/13/2015","1439424000","72446530.50000","128.95482429","1.78"
"8/14/2015","1439510400","72477637.21875","130.45974699375","1.80"
"8/15/2015","1439596800","72506149.87500","129.78600827625","1.79"
"8/16/2015","1439683200","72533244.40625","99.3705448365625","1.37"
"8/17/2015","1439769600","72561363.31250","87.073635975","1.20"
"8/18/2015","1439856000","72587526.12500","92.18615817875","1.27"
"8/19/2015","1439942400","72614808.15625","91.494658276875","1.26"
"8/20/2015","1440028800","72635865.18750","107.5010804775","1.48"
"8/21/2015","1440115200","72662556.12500","104.63408082","1.44"
"8/22/2015","1440201600","72690106.59375","101.0392481653125","1.39"
"8/23/2015","1440288000","72716362.21875","98.1670889953125","1.35"
"8/24/2015","1440374400","72743695.50000","90.20218242","1.24"
"8/25/2015","1440460800","72770431.59375","85.1414049646875","1.17"
"8/26/2015","1440547200","72796569.56250","84.4440206925","1.16"
"8/27/2015","1440633600","72821102.37500","82.28784568375","1.13"
"8/28/2015","1440720000","72845327.53125","94.698925790625","1.30"
"8/29/2015","1440806400","72867852.53125","85.984065986875","1.18"
"8/30/2015","1440892800","72889306.12500","96.213884085","1.32"
"8/31/2015","1440979200","72910599.56250","98.429309409375","1.35"
"9/1/2015","1441065600","72930942.53125","98.4567724171875","1.35"
"9/2/2015","1441152000","72949329.87500","94.10463553875","1.29"
"9/3/2015","1441238400","72966710.81250","91.93805562375","1.26"
"9/4/2015","1441324800","72989792.68750","92.697036713125","1.27"
"9/5/2015","1441411200","73015421.75000","100.0311277975","1.37"
"9/6/2015","1441497600","73041590.03125","94.954067040625","1.30"
"9/7/2015","1441584000","73067050.50000","90.60314262","1.24"
"9/8/2015","1441670400","73092943.00000","89.90431989","1.23"
"9/9/2015","1441756800","73119370.65625","88.4744384940625","1.21"
"9/10/2015","1441843200","73145814.87500","84.849145255","1.16"
"9/11/2015","1441929600","73173054.71875","71.709593624375","0.98"
